@relation day-of-week-./data/bris.dev

@attribute F0 {Brisbane}
@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute F17 numeric
@attribute F18 numeric
@attribute F19 numeric
@attribute F20 numeric
@attribute F21 {Sat,Fri,Sun,Thu,Wed,Tue,Mon}

@data
Brisbane,1977,1,31,0,23,31,27.8,6.2,3600,22000,16766.7,1400,40000,29400,20,22,20.4,1014.4,1016.4,1015.3,Sat
Brisbane,1977,4,11,0,18,25,20.8,6.2,750,22000,9820,40000,50000,44000,14,17,14.8,1018.6,1020.8,1019.6,Sat
Brisbane,1977,5,16,0,18,22,20,5.1,120,3600,1325,10000,20000,14166.7,17,19,18,1009.9,1017,1011.9,Thu
Brisbane,1977,6,13,0,11,20,13.8,3.1,22000,22000,22000,30000,40000,36250,7,8,7.8,1022.2,1023.9,1023.1,Sat
Brisbane,1977,8,15,0,9,21,14.5,3.6,3600,22000,18933.3,20000,50000,32500,3,8,5.5,1021.2,1023.8,1022.2,Sat
Brisbane,1977,12,12,0,20,24,22.2,7.7,750,22000,4841.7,20000,30000,25666.7,15,19,17.5,1016.5,1019,1017.4,Sat
Brisbane,1978,3,20,0,23,29,25.8,5.1,420,22000,5261.7,40000,40000,40000,18,23,20.7,1008,1014,1011.5,Sat
Brisbane,1978,4,10,0,20,28,23.7,2.6,750,22000,18458.3,25000,50000,35833.3,18,20,19.3,1010.4,1013.3,1011.6,Sat
Brisbane,1978,8,14,0,9,15,11.8,6.2,9000,22000,19400,35000,45000,40000,2,3,2.2,1022.3,1023.5,1023,Sat
Brisbane,1978,11,13,0,18,24,21.3,7.2,9000,22000,18285.7,30000,50000,40000,11,14,12.6,1013.7,1019.2,1016.6,Sat
Brisbane,1979,2,12,0,21,29,24.7,3.1,22000,22000,22000,30000,35000,30833.3,14,19,17.8,1018.3,1020.1,1019.2,Sat
Brisbane,1979,5,7,0,13,23,16.8,4.1,3600,22000,17400,40000,40000,40000,6,17,9.2,1009.5,1011.1,1010.2,Sat
Brisbane,1979,6,4,0,12,22,15.8,7.2,22000,22000,22000,40000,40000,40000,9,11,10.4,1024.4,1027.1,1025.8,Fri
Brisbane,1979,7,16,0,12,20,16.5,8.2,1200,22000,12000,30000,35000,31666.7,9,19,12,1031.2,1033,1032.1,Tue
Brisbane,1979,7,30,?,13,18,15.7,11.3,900,22000,13728.6,20000,60000,35714.3,5,15,9.9,1008.6,1011.5,1009.8,Sat
Brisbane,1979,9,24,?,15,23,19.8,7.7,750,22000,14991.7,35000,45000,38333.3,3,11,6.5,1020.3,1023.6,1021.6,Fri
Brisbane,1979,10,22,0,18,24,20.4,4.6,22000,22000,22000,35000,35000,35000,11,15,13.2,1020.2,1023.2,1021.7,Sat
Brisbane,1980,3,17,0,19,29,23.8,7.7,22000,22000,22000,25000,40000,31666.7,14,19,17.5,1017.5,1019.8,1018.9,Sat
Brisbane,1980,5,12,0,16,29,20.4,5.1,22000,22000,22000,25000,40000,30000,9,18,12.2,1015.2,1020.9,1018.1,Sat
Brisbane,1980,6,9,0,13,23,16.8,4.1,22000,22000,22000,9900,30000,14548,12,16,13.8,1014.7,1018.7,1016.4,Fri
